Process Time [min],Average emission wavelength [nm],Integral,#Empty,diff_AEW_raw,diff_AEW_sgol,diff_AEW_loess,AEW_adapted,dAEW_adapted
91.2833,335.8040544584578,407229.465,,0.0,0.15013685251947417,0.16650224484919565,335.8040544584578,-0.8350519251389983
92.5833,335.8024258776039,406697.565,,0.07516527017952132,0.13195554945567242,0.1390472461575385,335.8024258776039,-0.8366805059928879
93.9,335.7946226173315,406062.115,,0.3555826052584376,0.1212946674639561,0.12541957474313392,335.7946226173315,-0.8444837662652844
95.2,335.7900954394198,405425.1800000001,,0.20894667284822618,0.15195113000699667,0.1385265869254661,335.7900954394198,-0.849010944176996
96.5,335.7900658993301,405009.005,,0.0013633887559850442,0.1541683598387719,0.15384605286989128,335.7900658993301,-0.849040484266709
97.8,335.7895524870601,404556.28,,0.02369595092222199,0.146301464612775,0.13746316619025037,335.7895524870601,-0.8495538965366904
99.1167,335.781146333999,403693.06,,0.38305550517733167,0.09789036129063522,0.11677188113880277,335.781146333999,-0.857960049597807
100.417,335.7836217750064,403240.415,,0.0,0.10170276729118283,0.11245265124382796,335.7836217750064,-0.855484608590416
101.733,335.7769328944155,402874.425,,0.30496416067934123,0.1318832706314269,0.11451945263849517,335.7769328944155,-0.8621734891813162
103.033,335.7763234429005,402324.12,,0.028128531461719206,0.1396580975394167,0.11991159960976866,335.7763234429005,-0.8627829406963201
104.333,335.7741194576894,401767.485,,0.10172239435895274,0.0871041311250416,0.12291243034075139,335.7741194576894,-0.8649869259074308
105.633,335.7741389892444,401409.64,,0.0,0.11276917643216436,0.11805206290109517,335.7741389892444,-0.8649673943523908
106.95,335.7643284396508,400870.59,,0.4469498675910596,0.17384381773611543,0.11857444412140694,335.7643284396508,-0.8747779439460146
108.267,335.7651220289941,400233.055,,0.0,0.16481755559883876,0.1472105496365051,335.7651220289941,-0.8739843546027259
109.567,335.7645954796339,399888.02,,0.0243022781625348,0.1264903258812153,0.16407234439336094,335.7645954796339,-0.8745109039629142
110.883,335.7602394182455,399392.265,,0.1986046225723876,0.08400461045812052,0.11337671497136342,335.7602394182455,-0.8788669653513352
112.183,335.7494569545537,399008.655,,0.4976521703899647,0.0729628848350652,0.07182583152729194,335.7494569545537,-0.8896494290431178
113.483,335.7573815704372,398363.145,,0.0,0.12583128475021385,0.1049073322136324,335.7573815704372,-0.8817248131596216
114.8,335.7581961724951,397980.4349999999,,0.0,0.15453168130295875,0.1395540117505405,335.7581961724951,-0.8809102111017069
116.1,335.7499032560031,397478.08,,0.38274999193828163,0.14448232212484632,0.14153833727677778,335.7499032560031,-0.8892031275937029
117.4,335.7406125844913,396996.5650000001,,0.4288002236211623,0.14922549154391973,0.15001280885849655,335.7406125844913,-0.8984937991054949
118.717,335.7423334728906,396541.39,,0.0,0.1347783401267184,0.1595077636963964,335.7423334728906,-0.8967729107062041
